accession	sample_id	biosample	clade	study_id	gentamicin_RIS	gentamicin_DST_method	vancomycin_MIC	vancomycin_RIS	vancomycin_DST_method	ampicillin_MIC	ampicillin_RIS	ampicillin_DST_method	erythromycin_MIC	erythromycin_RIS	erythromycin_DST_method	linezolid_MIC	linezolid_RIS	linezolid_DST_method	tigecycline_MIC	tigecycline_RIS	tigecycline_DST_method	teicoplanin_MIC	teicoplanin_RIS	teicoplanin_DST_method	streptomycin_MIC	streptomycin_RIS	streptomycin_DST_method	ciprofloxacin_MIC	ciprofloxacin_RIS	ciprofloxacin_DST_method	tetracycline_MIC	tetracycline_RIS	tetracycline_DST_method	penicillin_MIC	penicillin_RIS	penicillin_DST_method	levofloxacin_MIC	levofloxacin_RIS	levofloxacin_DST_method	quinupristin-dalfopristin_MIC	quinupristin-dalfopristin_RIS	quinupristin-dalfopristin_DST_method	chloramphenicol_MIC	chloramphenicol_RIS	chloramphenicol_DST_method	trimethoprim_MIC	trimethoprim_RIS	trimethoprim_DST_method	kanamycin_RIS	kanamycin_DST_method	nitrofurantoin_MIC	nitrofurantoin_RIS	nitrofurantoin_DST_method	doxycycline_MIC	doxycycline_RIS	doxycycline_DST_method	rifampin_MIC	rifampin_RIS	rifampin_DST_method	clindamycin_MIC	clindamycin_RIS	clindamycin_DST_method	oxacillin_MIC	oxacillin_RIS	oxacillin_DST_method	amikacin_MIC	amikacin_RIS	amikacin_DST_method	trimethoprim-sulfamethoxazole_MIC	trimethoprim-sulfamethoxazole_RIS	trimethoprim-sulfamethoxazole_DST_method	florfenicol_MIC	florfenicol_RIS	florfenicol_DST_method	tedizolid_MIC	tedizolid_RIS	tedizolid_DST_method	daptomycin_MIC	daptomycin_RIS	daptomycin_DST_method	lincomycin_MIC	lincomycin_RIS	lincomycin_DST_method	tylosin_MIC	tylosin_RIS	tylosin_DST_method	moxifloxacin_MIC	moxifloxacin_RIS	moxifloxacin_DST_method	cefazolin_MIC	cefazolin_RIS	cefazolin_DST_method	cefuroxime_MIC	cefuroxime_DST_method	fosfomycin_MIC	fosfomycin_DST_method	ceftazidime_MIC	ceftazidime_RIS	ceftazidime_DST_method	ofloxacin_MIC	ofloxacin_RIS	ofloxacin_DST_method	azithromycin_RIS	azithromycin_DST_method	amoxicillin-clavulanic acid_MIC	amoxicillin-clavulanic acid_DST_method	eravacycline_MIC	eravacycline_RIS	eravacycline_DST_method	tiamulin_MIC	tiamulin_RIS	tiamulin_DST_method	sulfadimidine_RIS	sulfadimidine_DST_method	fusidic acid_MIC	fusidic acid_RIS	fusidic acid_DST_method	imipenem_MIC	imipenem_RIS	imipenem_DST_method	norfloxacin_MIC	norfloxacin_RIS	norfloxacin_DST_method	piperacillin-tazobactam_MIC	piperacillin-tazobactam_RIS	piperacillin-tazobactam_DST_method	meropenem_MIC	meropenem_RIS	meropenem_DST_method	avilamycin_MIC	avilamycin_DST_method	bacitracin_MIC	bacitracin_DST_method	ceftriaxone_MIC	ceftriaxone_DST_method	minocycline_MIC	minocycline_DST_method	amoxicillin_RIS	cefoxitin_RIS	tobramycin_RIS	lincosamide_MIC	lincosamide_RIS	lincosamide_DST_method
SAMN16826733	ID_4288208	SAMN16826733	Human	timmermans2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	broth_microdilution_Sensititre	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	broth_microdilution_Sensititre	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN16826734	ID_1940023	SAMN16826734	Human	timmermans2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	broth_microdilution_Sensititre	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	broth_microdilution_Sensititre	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN18529533	ID_2504480	SAMN18529533	NA	holman2021	S	broth microdilution	2.0	S	broth microdilution	NA	NA	NA	2.0	I	broth microdilution	2.0	S	broth microdilution	0.12	S	broth microdilution	NA	NA	NA	<=512	S	broth microdilution	4.0	R	broth microdilution	<=1.0	S	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	8.0	R	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	S	broth microdilution	32.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	S	broth microdilution	>8.0	R	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN18529534	ID_1227989	SAMN18529534	NA	holman2021	S	broth microdilution	1.0	S	broth microdilution	NA	NA	NA	1.0	I	broth microdilution	2.0	S	broth microdilution	0.06	S	broth microdilution	NA	NA	NA	<=512	S	broth microdilution	1.0	S	broth microdilution	<=1.0	S	broth microdilution	2.0	S	broth microdilution	NA	NA	NA	8.0	R	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	S	broth microdilution	16.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	S	broth microdilution	>8.0	R	broth microdilution	2.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN18529535	ID_6575367	SAMN18529535	NA	holman2021	S	broth microdilution	2.0	S	broth microdilution	NA	NA	NA	4.0	I	broth microdilution	2.0	S	broth microdilution	0.06	S	broth microdilution	NA	NA	NA	<=512	S	broth microdilution	1.0	S	broth microdilution	<=1.0	S	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	<=0.5	S	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	S	broth microdilution	16.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	S	broth microdilution	<=1.0	S	broth microdilution	2.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN18529536	ID_3829305	SAMN18529536	NA	holman2021	S	broth microdilution	2.0	S	broth microdilution	NA	NA	NA	>8.0	R	broth microdilution	2.0	S	broth microdilution	0.03	S	broth microdilution	NA	NA	NA	<=512	S	broth microdilution	1.0	S	broth microdilution	<=1.0	S	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	8.0	R	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	S	broth microdilution	32.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	S	broth microdilution	>8.0	R	broth microdilution	2.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN18529538	ID_8333993	SAMN18529538	NA	holman2021	S	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	8.0	R	broth microdilution	4.0	I	broth microdilution	0.12	S	broth microdilution	NA	NA	NA	<=512	S	broth microdilution	>4.0	R	broth microdilution	>32.0	R	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	8.0	R	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	S	broth microdilution	32.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	S	broth microdilution	>8.0	R	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN18529539	ID_4637829	SAMN18529539	NA	holman2021	S	broth microdilution	2.0	S	broth microdilution	NA	NA	NA	8.0	R	broth microdilution	4.0	I	broth microdilution	0.06	S	broth microdilution	NA	NA	NA	<=512	S	broth microdilution	2.0	I	broth microdilution	4.0	S	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	<=0.05	S	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	S	broth microdilution	16.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	S	broth microdilution	<=1.0	S	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN18529540	ID_3982310	SAMN18529540	NA	holman2021	R	broth microdilution	2.0	S	broth microdilution	NA	NA	NA	>8.0	R	broth microdilution	2.0	S	broth microdilution	0.06	S	broth microdilution	NA	NA	NA	2048	R	broth microdilution	2.0	I	broth microdilution	>32.0	R	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	16.0	R	broth microdilution	32.0	R	broth microdilution	NA	NA	NA	R	broth microdilution	16.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	S	broth microdilution	>8.0	R	broth microdilution	>32.0	R	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN18529543	ID_8861292	SAMN18529543	NA	holman2021	S	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	0.5	S	broth microdilution	2.0	S	broth microdilution	0.06	S	broth microdilution	NA	NA	NA	<=512	S	broth microdilution	4.0	R	broth microdilution	>32.0	R	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	8.0	R	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	S	broth microdilution	32.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	S	broth microdilution	>8.0	R	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN18529544	ID_2949752	SAMN18529544	NA	holman2021	S	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	2.0	I	broth microdilution	2.0	S	broth microdilution	0.12	S	broth microdilution	NA	NA	NA	<=512	S	broth microdilution	4.0	R	broth microdilution	>32.0	R	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	8.0	R	broth microdilution	8.0	S	broth microdilution	NA	NA	NA	S	broth microdilution	32.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	S	broth microdilution	>8.0	R	broth microdilution	4.0	S	broth microdilution	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185855	ID_7074455	SAMN19185855	pig	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185856	ID_5222305	SAMN19185856	chicken	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185857	ID_3098563	SAMN19185857	chicken	elzowalaty2023	NA	NA	NA	R	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185858	ID_1683288	SAMN19185858	chicken	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185859	ID_5315493	SAMN19185859	chicken	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185860	ID_5388083	SAMN19185860	chicken	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185861	ID_7174114	SAMN19185861	chicken	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185864	ID_5155915	SAMN19185864	goat	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185865	ID_2411823	SAMN19185865	goat	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185866	ID_8833586	SAMN19185866	goat	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185867	ID_3512264	SAMN19185867	cow	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185868	ID_7302904	SAMN19185868	cow	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185870	ID_3126327	SAMN19185870	cow	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN19185871	ID_7345885	SAMN19185871	pig	elzowalaty2023	NA	NA	NA	S	disk diffusion	NA	S	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	NA	NA	NA	S	disk diffusion	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk diffusion	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
